Contig	220804_BK_C1_DNA_brine_C.sorted RPKM	220805_BK_F1_DNA_brine.sorted RPKM	220805_BK_F3_DNA_brine_C.sorted RPKM	220805_MW_S1_DNA_Brine.sorted RPKM	220805_MW_S2_DNA_Brine_B.sorted RPKM	220805_MW_S3_DNA_Brine.sorted RPKM	220805_MW_S4_DNA_Brine.sorted RPKM	220806_BK_F5_DNA_brine_A.sorted RPKM	220806_BK_F6D_DNA_brine.sorted RPKM	220806_BK_F6E_DNA_brine.sorted RPKM	220806_MW_S5_DNA_Brine_A.sorted RPKM	220806_MW_S6_DNA_Brine.sorted RPKM	220807_BK_F8_DNA_brine_C.sorted RPKM	220807_MW_S7_DNA_Brine_B.sorted RPKM	220807_MW_S8_DNA_Brine_A.sorted RPKM	220808_BK_F10_DNA_brine_B.sorted RPKM	220808_BK_F11_DNA_brine_A.sorted RPKM	220808_BK_F12_DNA_brine_C.sorted RPKM	220808_BK_F13_DNA_brine_C.sorted RPKM	220808_BK_F14_DNA_brine_C.sorted RPKM	220808_BK_F15_DNA_brine_B.sorted RPKM	220808_BK_F9_DNA_brine_A.sorted RPKM	220809_MW_F8_DNA_BrineA_A.sorted RPKM	220809_MW_F8_DNA_BrineB_A.sorted RPKM	220809_MW_S9_DNA_BrineA_A.sorted RPKM	220809_MW_S9_DNA_BrineB_A.sorted RPKM	220809_MW_S9_DNA_BrineC_A.sorted RPKM	220811_JW_F17_DNA_Brine_A.sorted RPKM	220811_JW_F18_DNA_Brine_B.sorted RPKM	220811_JW_F19_DNA_Brine_A.sorted RPKM	220811_JW_F20_DNA_Brine_A.sorted RPKM	220811_JW_F21_DNA_Brine.sorted RPKM	220811_MW_F13_DNA_Brine_B.sorted RPKM	220811_MW_F14_DNA_Brine_C.sorted RPKM	220812_MW_F10_DNA_Brine_B.sorted RPKM	220812_MW_F11_DNA_Brine_A.sorted RPKM	220812_MW_F12_DNA_Brine_B.sorted RPKM	220812_MW_F9_DNA_Brine.sorted RPKM	220813_JW_F23_DNA_Brine_A.sorted RPKM	220813_JW_F25_DNA_Brine_A.sorted RPKM	220813_LF_F9_DNA_Brine.sorted RPKM	220814_MW_F9_DNA_Brine_C.sorted RPKM	220815_LF_B1_DNA_brine_A.sorted RPKM	220815_LF_B2_DNA_brine_B.sorted RPKM	220815_LF_B3_DNA_brine_A.sorted RPKM	220816_LF_B4_DNA_brine_C.sorted RPKM	220816_LF_B5_DNA_brine_C.sorted RPKM	220816_LF_B6_DNA_brine_A.sorted RPKM	220816_LF_B7_DNA_brine_B.sorted RPKM	220817_LF_B8_DNA_brine_C.sorted RPKM	240111_N1_DNA_S12_L002.sorted RPKM	240111_N1_DNA_S1_L001.sorted RPKM	240111_N3B_DNA_S4_L001.sorted RPKM	240111_N3_DNA_S14_L002.sorted RPKM	240111_N3_DNA_S3_L001.sorted RPKM	240113_N4_DNA_S6_L001.sorted RPKM	240113_N5_DNA_S7_L001.sorted RPKM	240114_N7B_DNA_S20_L002.sorted RPKM	240114_N7B_DNA_S9_L001.sorted RPKM	240114_N9_DNA_S11_L001.sorted RPKM	240114_N9_DNA_S22_L002.sorted RPKM	240115_N10_DNA_S12_L001.sorted RPKM	240115_N10_DNA_S23_L002.sorted RPKM	240116_N11_DNA_S13_L001.sorted RPKM	240116_N12_DNA_S14_L001.sorted RPKM	240116_N13_DNA_S15_L001.sorted RPKM	240117_N15_DNA_S17_L001.sorted RPKM	240117_N15_DNA_S28_L002.sorted RPKM	240120_N3C_DNA_S5_L001.sorted RPKM
WATLvirus_00020186	0	0	0	0	0	0	0	0	0	446.12512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00023771	0	0	0	0	0	0	0	0	0	796.1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00024776	0	0	0	0	0	0	0	0	0	0	0	106.64218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00030638	0	0	0	0	0	0	0	0	0	0	0	0	98.41125	0	0	0	0	0	0	0	0	0	45.59824	44.282475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00030692	0	0	0	0	0	0	0	0	0	0	0	0	67.04382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00030707	0	0	0	0	0	0	0	0	0	0	0	0	74.41087	0	0	0	0	0	0	0	0	0	28.039185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00035274	0	0	0	0	0	0	0	5539.897	0	0	0	0	0	4508.1665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00036434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620.48364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00036449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515.991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00045143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1234.3053	0	0	0	0	0	0	0	0	0	0	0	0	0	71.90796	73.12237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046154	0	0	0	0	0	1854.2092	0	0	0	0	0	0	0	0	2878.2878	0	508.10754	0	0	0	0	0	0	0	0	0	0	0	0	0	57.300137	0	0	0	0	157.4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.96686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.3841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.35876	0	0	0	0	0	0	0	0	0	0	0	0	0	31.967445	0	0	0	0	289.63217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.0181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.36722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.05776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00046756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.40657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.68559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00056137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1298.1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2121.2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00056181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1827.6547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3338.7239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.61955	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00056186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2452.2222	0	1476.992	0	0	0	2742.9553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3285.2244	0	0	0	0	3389.5059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367.4655	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00057535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.80292	0	0	0	0	0	0	0	0	0	0	0	0	0	77.27938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00060613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.26399	0	0	0	0	0	0	0	0	0	0	0	0	0	456.57962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00060650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.70986	51.95495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.785203	0	0	0	0	0
WATLvirus_00060662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.54857	0	0	0	0	0	0	0	0	0	0	0	0	0	47.381462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00060694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.1026	0	0	0	0	0	0	0	0	0	0	0	0	0	117.941055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.35556	0	0	0	0	0
WATLvirus_00060706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191.19308	0	0	0	0	0	0	0	0	0	0	0	0	0	46.340843	0	0	0	0	0	0	0	0	0	0	0	0	170.44478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00060732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.31325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATLvirus_00060736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146.80658	0	0	0	0	0	0	0	0	0	0	0	0	0	99.800896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.67442	0	0	0	0	0
