File,Median_pI,n_structural
k141_923332.faa,4.846115303039549,1
k141_1368904.faa,6.257597923278809,1
k141_1209444.faa,4.287899589538575,1
k141_115001.faa,4.968205451965332,1
k141_1509623.faa,5.886865615844727,2
k141_1309478.faa,4.424881553649903,1
k141_711772.faa,9.096053886413575,1
k141_253239.faa,4.401463890075684,1
k141_1385867.faa,5.494534492492675,1
k141_1575703.faa,5.53753318786621,2
k141_1534011.faa,5.19294681549072,1
k141_1083538.faa,4.698106575012206,1
k141_678288.faa,5.285878562927246,5
k141_631850.faa,5.321061897277832,2
k141_1627994.faa,4.980425834655762,3
k141_617115.faa,4.377676773071288,2
k141_1293036.faa,4.494992446899414,2
k141_1542622.faa,4.881128120422363,1
k141_456696.faa,9.905905723571777,1
k141_409392.faa,4.556065940856934,1
k141_11460.faa,4.604805374145506,2
k141_791417.faa,4.921824836730956,1
k141_638849.faa,5.455372428894043,1
k141_908377.faa,4.2553308486938475,1
k141_1408070.faa,5.628106117248534,1
k141_981209.faa,4.63410587310791,1
k141_888239.faa,5.811639213562012,1
k141_1645651.faa,11.728491401672365,1
k141_1137922.faa,8.324367332458497,1
k141_1142365.faa,4.818150520324706,2
k141_1375565.faa,5.212101554870604,7
k141_55587.faa,4.488995933532714,3
k141_171753.faa,5.090125083923339,1
k141_1362757.faa,7.624058532714843,2
k141_595636.faa,7.333876609802244,2
k141_1258150.faa,6.025353813171387,3
k141_1667631.faa,4.66633358001709,2
k141_851014.faa,4.212246894836426,1
k141_938908.faa,9.74396114349365,1
k141_1020735.faa,4.944219398498535,1
k141_814206.faa,4.269199562072754,1
k141_1573818.faa,5.1767477035522464,2
k141_326466.faa,6.836275672912598,1
k141_1513120.faa,5.130139732360839,1
k141_1019605.faa,7.890108299255371,1
k141_1394599.faa,5.081315040588377,1
k141_1035489.faa,5.30216293334961,2
k141_160460.faa,4.983608818054199,1
k141_1368050.faa,4.7468175888061515,1
k141_1001076.faa,5.54534854888916,1
k141_581327.faa,4.775464439392089,1
k141_1345854.faa,5.134828948974608,2
k141_1189558.faa,6.8808828353881815,2
k141_1411086.faa,4.660194969177247,1
k141_295109.faa,4.578289985656738,1
k141_664298.faa,4.742043113708497,1
k141_732960.faa,4.595000648498535,1
k141_1372801.faa,4.58135929107666,1
k141_1471809.faa,5.39697036743164,2
k141_1304015.faa,6.034618568420409,3
k141_245704.faa,5.486463356018065,1
k141_442224.faa,4.537309074401856,1
k141_1613775.faa,6.608663940429687,4
k141_1242083.faa,6.427091789245605,1
k141_684393.faa,4.950358009338378,1
k141_250321.faa,4.496924972534179,2
k141_746978.faa,4.974344062805175,1
k141_1692531.faa,4.152224922180175,1
k141_1214986.faa,8.620148277282714,2
k141_525718.faa,5.158104515075682,1
k141_1391740.faa,5.600226593017577,2
k141_180153.faa,5.2330751419067365,1
k141_52377.faa,5.004696083068847,2
k141_575675.faa,5.4298517227172844,4
k141_768688.faa,6.230713081359863,1
k141_748558.faa,5.96033000946045,1
k141_907118.faa,4.735336112976075,1
k141_363258.faa,7.7891006469726545,2
k141_522739.faa,6.036352157592773,2
k141_937742.faa,4.603071784973144,1
k141_500573.faa,5.072050285339355,6
k141_217526.faa,6.255040168762207,1
k141_765353.faa,6.907210731506347,3
k141_283421.faa,5.626514625549316,1
k141_1080178.faa,4.947004508972167,1
k141_1288588.faa,4.962237358093262,1
k141_1440815.faa,5.299463081359862,1
k141_1542964.faa,5.19897174835205,3
k141_352046.faa,4.0500284194946286,1
k141_487344.faa,8.29058589935303,1
k141_1197406.faa,9.270237159729003,2
k141_168406.faa,5.470434761047363,1
k141_680450.faa,6.620628547668457,3
k141_263528.faa,5.374263191223145,2
k141_370226.faa,8.817163658142093,1
k141_1113935.faa,8.925083732604982,1
k141_266478.faa,4.87109603881836,4
k141_1678840.faa,4.626773643493652,1
k141_626730.faa,4.370003509521484,2
k141_1142987.faa,4.6925363540649405,1
k141_407746.faa,4.6772466659545895,6
k141_411642.faa,4.397229385375976,2
k141_919867.faa,5.03374080657959,1
k141_1221526.faa,5.956010246276856,1
k141_1293394.faa,9.871608543395993,1
k141_760995.faa,4.64632625579834,5
k141_1000236.faa,4.759947395324707,2
k141_1430102.faa,4.2004243850708,1
k141_278493.faa,4.4530736923217775,1
k141_333848.faa,9.817132759094235,1
k141_467930.faa,4.813972854614256,2
k141_1356023.faa,5.066991615295408,1
k141_1018486.faa,6.079464530944824,1
k141_606351.faa,5.5570573806762695,1
k141_855338.faa,4.867373085021971,1
k141_955462.faa,8.785509681701662,1
k141_790469.faa,4.264453506469726,2
k141_566435.faa,5.286560630798339,1
k141_818576.faa,4.360141944885254,1
