Contig	240111_N1_DNA_S12_L002_map_sorted_plasmid RPKM	240111_N1_DNA_S1_L001_map_sorted_plasmid RPKM	240111_N2_VIROME_S26_L001_map_sorted_plasmid RPKM	240111_N2_VIROME_S37_L002_map_sorted_plasmid RPKM	240111_N3A_sed_DNA_S24_L001_map_sorted_plasmid RPKM	240111_N3A_sed_DNA_S35_L002_map_sorted_plasmid RPKM	240111_N3B_DNA_S4_L001_map_sorted_plasmid RPKM	240111_N3B_VIROME_S28_L001_map_sorted_plasmid RPKM	240111_N3_DNA_S14_L002_map_sorted_plasmid RPKM	240111_N3_DNA_S3_L001_map_sorted_plasmid RPKM	240113_N4_DNA_S6_L001_map_sorted_plasmid RPKM	240113_N4_VIROME_S29_L001_map_sorted_plasmid RPKM	240113_N5_DNA_S7_L001_map_sorted_plasmid RPKM	240113_N5_VIROME_S30_L001_map_sorted_plasmid RPKM	240114_N7A_VIROME_S31_L001_map_sorted_plasmid RPKM	240114_N7A_VIROME_S43_L002_map_sorted_plasmid RPKM	240114_N7B_DNA_S20_L002_map_sorted_plasmid RPKM	240114_N7B_DNA_S9_L001_map_sorted_plasmid RPKM	240114_N7B_VIROME_S32_L001_map_sorted_plasmid RPKM	240114_N9_DNA_S11_L001_map_sorted_plasmid RPKM	240114_N9_DNA_S22_L002_map_sorted_plasmid RPKM	240114_N9_mat_DNA_S21_L001_map_sorted_plasmid RPKM	240114_N9_VIROME_S34_L001_map_sorted_plasmid RPKM	240115_N10_DNA_S12_L001_map_sorted_plasmid RPKM	240115_N10_DNA_S23_L002_map_sorted_plasmid RPKM	240115_N10_VIROME_S35_L001_map_sorted_plasmid RPKM	240115_N11_mat_DNA_S22_L001_map_sorted_plasmid RPKM	240115_N9_mat_DNA_S23_L001_map_sorted_plasmid RPKM	240116_N11_DNA_S13_L001_map_sorted_plasmid RPKM	240116_N11_VIROME_S36_L001_map_sorted_plasmid RPKM	240116_N12_DNA_S14_L001_map_sorted_plasmid RPKM	240116_N12_VIROME_S37_L001_map_sorted_plasmid RPKM	240116_N13_DNA_S15_L001_map_sorted_plasmid RPKM	240116_N13_VIROME_S38_L001_map_sorted_plasmid RPKM	240117_GW01_DNA_S18_L001_map_sorted_plasmid RPKM	240117_GW01_VIROME_S41_L001_map_sorted_plasmid RPKM	240117_N14_VIROME_S39_L001_map_sorted_plasmid RPKM	240117_N14_VIROME_S51_L002_map_sorted_plasmid RPKM	240117_N15_DNA_S17_L001_map_sorted_plasmid RPKM	240117_N15_DNA_S28_L002_map_sorted_plasmid RPKM	240117_N15_VIROME_S52_L002_map_sorted_plasmid RPKM	240119_GW02_VIROME_S42_L001_map_sorted_plasmid RPKM	240119_GW02_VIROME_S54_L002_map_sorted_plasmid RPKM	240119_GW03_DNA_S20_L001_map_sorted_plasmid RPKM	240120_N3C_DNA_S5_L001_map_sorted_plasmid RPKM	240120_N3C_VIROME_1_S38_L002_map_sorted_plasmid RPKM	240120_N3C_VIROME_S27_L001_map_sorted_plasmid RPKM
k141_813876	116.60906	122.97731	0.09697841	0.13439211	2.9791183	0	0	0	18.612404	13.680095	13.677945	0.0466714	27.121334	0	0	0	65.17051	70.64786	0	0	0	0	0	1.5344876	3.7738948	3.1575615	0	0	0	0	0	0	0	0	0	0	0.4442372	0	435.47565	408.66492	0	0	0	0	0	0	0
k141_1647269	14.467516	14.379848	0	0	0	0	0	0	17.458796	15.006419	19.566242	0	3.3982313	0	0	0	6.9397063	9.545408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7815275	4.4782257	0	0	0	0	0	0	0
k141_2716494	103.6	97.703476	0	0.035398602	1.5693873	11.850604	0	0	120.89043	89.91114	71.591675	0	38.818882	0	0	0	44.63976	39.680847	0	2.9476414	0	0.69032675	0.06909084	12.933788	7.952289	0.17509371	0	0.31180337	6.589435	2.9253876	2.7921603	0.9962906	0.96348906	0	1.0863692	0	23.402231	29.59253	49.25743	54.321663	0	0	0	2.9485734	0	0	0
k141_3430085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23305032	0	0	0	0	0	74.81395	4.336205	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_2300899	21.980919	24.533447	0.09244297	0.12810692	11.359169	1.4295708	0	0	22.379047	15.772567	11.322492	0	27.855185	0	0	0	7.0342436	8.564633	0	0	0	0	0.041673087	1.4627235	1.7986995	0.09052301	0	0	0.52993447	0	0.7217699	0	0.26151374	0	0	0	11.856917	8.287099	25.12022	29.166092	0	0.0509867	0	1.3338543	0	0	0
k141_3371601	0	0	0	0	0	0	0	0	0	0	0	0	25.770962	0	0	0	0.19198494	0.33248535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3252574	20.244602	17.951557	0	0	3.21703	0	0	0	20.89817	24.620972	26.468237	0.05039857	2.3680863	0	0	0	18.712948	15.018719	0	0	0	0	0	0.8285157	1.0188193	0.20509616	0	0	0	0	0	0	0	0	0	0	4.7971387	5.777205	6.050698	7.666859	0	0	0	0	0	0	0
k141_1647322	0	0	0	0	0	2.8512976	0	0	0	0	0	0	12.533094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_280809	0	0	0	0	0	0	0	0.0063945316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.02089	7.35353	0	0.27460197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k141_3371624	63.974476	69.535034	0.2875404	0.4709212	11.242086	15.361075	0	0	96.34688	104.51146	103.62448	0.17612055	41.961018	0	0	0	46.039116	45.384167	0	0	0	0.28257483	0	0.8272267	0	0.28156847	0	0	0.8990953	0.8980974	2.040944	1.7841972	0.19719484	0	3.3351657	0	109.68356	113.20125	54.749138	52.76435	0	0	0	0	0	0	0
k141_3430135	154.96852	131.20512	0.12340439	0.13681047	42.458176	37.40404	0	0.08406119	182.90634	182.76567	147.74384	0	64.17533	0.020092767	0	0	85.92547	72.79622	0	0	0	0.8671041	0.35603476	17.183105	12.485867	0.3383559	0	1.5063434	15.563296	7.631685	7.7080674	5.0538054	1.6756854	2.3916407	11.546312	0.049759064	94.51632	118.4555	78.2525	98.60548	0	0	0.058516514	0	0	0	0.022686265
